"C4R4MNOR"	"C4R4MSCL"	"C4R4MTSC"	"C4R4MTHT"	"C4R4MSET"	"C5R4MNR3"	"C5R4MSCL"	"C5R4MTSC"	"C5R4MTHT"	"C5R4MSET"	"P5MOMCOB"	"P5DADCOB"	"P4MOMCOB"	"P4DADCOB"	"P5MAGEUS"	"P5DAGEUS"	"P4MAGEUS"	"P4DAGEUS"	"P2CHPLAC"	"C1SCTOT"	"W1RACETH"	"P4HISPBD"	"P4ASIABD"	"P4HISPBD.1"	"P5MOMCOB.1"	"P4MOMCOB.1"	"R2_KAGE"	"GENDER"	"P1HFAMIL"	"P2HFAMIL"	"P1HPARNT"	"P2HPARNT"	"P1NUMSIB"	"P2NUMSIB"	"P2INCOME"	"P1HIG_2"	"S2CHCARE"	"U2REPEAT"	"F2CLASS"	"A2ATTOPN"	"P2ATTENP"	"P2PARGRP"	"T2INFMTS"	"C7SPORTS"	"C7ARTS"	"P2NOENGL"	"P4LIBRAR"	"P2MUSEUM"	"P2CONCRT"	"P3ARTSCI"	"P5ZOO"	"P5SPTEVT"	"S2KPUPRI"	"S2KPUPRI.1"	"BYCW0"	"BYPW0"	"BYCPTW0"	"BYCOMW0"	"P1PRIMPK"	"W3RACETH"	"RACE"
"2"	15	76.33	58.738	0.922	0.147	15	124.61	60.39	1.753	0.14	1	1	1	-1	-1	-1	-1	-1	1	-1	1	-1	-1	-1	1	1	83.1	2	1	1	1	1	2	1	120000	22	1	-2	3	5	2	1	1	1	3	2	1	2	1	NA	2	2	1	1	172.1321	175.67557	197.41966	212.07836	6	1	1
"4"	14	79.47	59.853	0.987	0.149	10	114.38	56.419	1.572	0.122	73	1	73	-1	0	-1	0	-1	1	-1	1	-1	-1	-1	73	73	72.07	1	1	1	1	1	1	1	-8	18	1	-2	3	5	2	1	1	NA	NA	2	2	2	2	NA	2	2	1	1	172.1321	175.67557	197.41966	212.07836	7	1	1
"5"	14	64.08	53.716	0.65	0.142	11	105.4	53.168	1.453	0.118	NA	NA	1	-1	NA	NA	-1	-1	1	-1	1	-1	-1	-1	NA	1	80.67	2	1	1	1	1	1	1	-8	22	1	-2	3	5	2	1	1	NA	NA	2	1	1	2	NA	NA	NA	1	1	172.1321	175.67557	197.41966	212.07836	6	NA	1
"6"	11	45.41	42.676	0.06	0.15	10	112.87	55.857	1.534	0.133	1	1	1	-1	-1	-1	-1	-1	1	-1	1	-1	-1	-1	1	1	69.17	1	1	1	1	1	1	1	50000	20	1	-2	3	5	2	1	1	NA	NA	2	1	2	2	NA	2	2	1	1	172.1321	175.67557	197.41966	212.07836	6	1	1
"7"	9	38.54	37.16	-0.273	0.165	5	71.98	40.946	0.811	0.133	1	1	1	-1	-1	-1	-1	-1	1	-1	1	-1	-1	-1	1	1	69.77	1	1	1	1	1	1	1	55000	17	1	-2	3	5	2	1	1	2	1	2	1	2	1	NA	2	2	1	1	172.1321	175.67557	197.41966	212.07836	6	1	1
"9"	9	45.47	42.724	0.061	0.169	1	64.64	37.497	0.674	0.141	1	1	1	-1	-1	-1	-1	-1	1	-1	1	-1	-1	-1	1	1	73.9	1	2	1	2	2	0	1	42000	13	1	-2	3	5	1	1	1	NA	NA	2	1	1	1	NA	1	2	1	1	172.1321	175.67557	197.41966	212.07836	6	1	1
"10"	13	61.06	52.256	0.569	0.141	12	110.49	54.986	1.524	0.136	1	1	1	-1	-1	-1	-1	-1	1	-1	1	-1	-1	-1	1	1	76.77	2	1	1	1	1	1	1	70000	20	1	-2	3	5	2	1	1	-9	4	2	1	2	2	NA	2	1	1	1	172.1321	175.67557	197.41966	212.07836	6	1	1
"11"	16	100.46	66.584	1.341	0.175	15	135.97	65.16	1.971	0.146	1	1	1	-1	-1	-1	-1	-1	1	-1	1	-1	-1	-1	1	1	78.57	2	1	1	1	1	1	1	1e+05	17	1	-2	3	5	2	1	1	NA	NA	2	2	1	2	NA	2	2	1	1	172.1321	175.67557	197.41966	212.07836	6	1	1
"12"	16	112.37	70.406	1.544	0.199	17	156.89	75.811	2.504	0.188	1	1	1	-1	-1	-1	-1	-1	1	-1	1	-1	-1	-1	1	1	74.63	1	1	1	1	1	1	1	-8	22	1	-2	3	5	2	1	1	NA	NA	1	2	1	1	NA	2	1	1	1	172.1321	175.67557	197.41966	212.07836	6	1	1
"13"	12	73.09	57.529	0.845	0.145	10	114.79	56.571	1.585	0.122	1	1	1	-1	-1	-1	-1	-1	1	-1	1	-1	-1	-1	1	1	68.73	1	1	1	1	1	1	1	78000	16	1	-2	3	5	2	1	1	NA	NA	2	2	2	2	NA	2	2	1	1	172.1321	175.67557	197.41966	212.07836	6	1	1
"16"	13	68.88	55.838	0.769	0.143	11	115.59	56.872	1.601	0.127	1	1	1	-1	-1	-1	-1	-1	1	-1	1	-1	-1	-1	1	1	81.07	1	1	3	1	4	2	2	0	13	1	-2	1	4	2	1	3	1	1	2	2	2	2	NA	2	1	1	1	224.11426	290.46135	274.14736	232.67644	6	1	1
"17"	13	66.84	54.965	0.727	0.142	9	107.17	53.793	1.475	0.117	1	1	1	-1	-1	-1	-1	-1	1	-1	1	-1	-1	-1	1	1	72.13	2	1	1	1	1	1	1	50000	18	1	-2	2	5	1	1	1	3	4	2	2	1	1	NA	2	1	1	1	224.11426	290.46135	274.14736	232.67644	6	1	1
"18"	12	63.66	53.521	0.636	0.142	7	85.86	46.37	1.059	0.118	1	1	1	-1	-1	-1	-1	-1	1	-1	3	-1	-1	-1	1	1	81.43	2	1	1	1	1	4	4	-8	10	1	-2	2	4	2	1	3	NA	NA	2	2	2	2	NA	2	1	1	1	224.11426	290.46135	274.14736	232.67644	0	3	3
"19"	11	56.75	49.979	0.458	0.142	9	99.25	51.026	1.31	0.123	1	1	1	-1	-1	-1	-1	-1	1	-1	1	-1	-1	-1	1	1	68.63	2	3	3	5	5	1	1	9000	-1	1	-2	2	4	2	1	1	1	2	2	1	1	1	NA	2	1	1	1	224.11426	290.46135	274.14736	232.67644	5	1	1
